Unnamed: 0,appliance,footprint
137443,Dish washer,"[-7.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.
  0.  0.  1. -1. -1.  1.  0.  0. -1.  1.  1. -1. -1.  1.  0. -1.  1.  0.
  0.  0.  0.  0. -2.  1.  0.  0.  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.
  0. -1.  1.  0.  0.  0.  0.  0.  0. -1.  0.  0.  1.  0.  0.  0.  0.  0.
 -1.  1.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.
  0.  0.  0. -1.  0.  1. -2.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1. -1.  1. -1.  1.  1. -1. -1.
  1.  0.  0.  0.  0. -1.  1.  1.  0. -1.  0.  1. -1.  0. -1.  1.  0.  0.
 -1.  0.  2. -1.  0.  4.  6.]"
137444,Dish washer,[-18.]
137445,Dish washer,"[ 0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  1. -1.  0.  0.  1. -1.  0.  0.
  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  1. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0. -1. -1.  1.
  0.  0.  0.  0.  0. -1.  1.  0. -1.  1. -1.  0.  1. -1.  0.  1.  0. -1.
  0.  0.  1.  0.  0.  0. -1.  0.  1.  0.  0.  0. -1.  1. -1.  0.  1. -1.
  0.  1. -1.  0.  0.  0.  0. 18. -8.]"
137446,Dish washer,"[-1.  0.  1. -1.  0.  0.  1.  0. -1.  0.  0.  1. -1.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  1. -1.  0.  1. -1.  0.  1. -1.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.
  1.  0. -1.  0.  0.  0.  0.  1. -1.  0.  1.  0.  0. -1.  1.  0.  0.  0.
  0.  0.  0. -1.  1.  0.  0. -1.]"
137447,Dish washer,[  0.   0.   0.   0. -11.]
137448,Dish washer,"[  -7.   -4.    3.  -26.   48.   -9.    1.   13.  -38.   20.   10.    2.
  -43.   20.    0.   17.   13.   -5.    1.  -22.   -8.   23.  -16.  -10.
   -2.  -13.   14.   11.  -13.   25.  -27.   20.   -8.   10.   -3.  -17.
   -6.   43.  -15.  -11.   15.    8.   -6.   17.  -41.    2.   -6.   -1.
   17.   20.  330. -334.   -3.    1.  -31.    0.   33.    0.   -6.   20.]"
137449,Dish washer,"[ 1.  0. -1.  0.  0.  0.  0. -1.  1. -1.  1.  0.  0. -1.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.
  1.  0. -1.  0.  1.  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0. -1.
  1.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0. -1.  1. -2.  0.  1.  0. 20.]"
137450,Dish washer,"[  10.   10.   10.    4.  -38.    5.   17.    7.   -2.   -4.  -33.   -2.
   32.   -1.  -30.   -7.   31.  -16.   21.   -8.   15.   -4.  -13.  -29.
   33.   -7.   15.   -4.  -19.   22.   -1.  -20.   -9.   39.  -10.  -12.
  -11.    3.    6.    7.  -17.   -8.   -1.  397. -357.    5.  -26.   14.
   -3.    2.    9.  -26.   -2.   -2.  -12.   41.  -34.   -1.   35.   -2.
  -16.  -10.   12.    0.   14.    0.    7.  -10.  -24.   35.  -14.  -18.
   24.  -26.   19.   -4.  -25.   29.  -11.   12.   -3.   -3.  -20.   39.
  -35.   28.    4.    0.   -9.  -32.   24.  -13.   18.  -24.   15.   -1.
  -14.   38.]"
137451,Dish washer,[-1. -1.  2.]
137452,Dish washer,"[-8.  0.  0. -1.  1.  0.  0. -1.  0.  1.  0. -1.  1.  0. -2.  1.  1.  0.
  0. -1.  0.  0.  1.  0.  0.  0. -1.  0.  0.  0.  1. -1.  1. -1.  0.  0.
  1.  0. -1.  1.  0.  0. -1.  1.  0.  0. -1.  1.  0.  0. -1.  0.  0.  0.
  0.  0.  1. -1.  0.  0.  1. -1.  1. -1.  1. -1.  1.  0. -2.  1.  0. -1.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1. -1.  0.  1. -1.
  1.  0.  0.  0. -1.  1.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.
 -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1. -1.  1. -1.  1.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0.  0.  0.  1.  0.  0. -1.  0.
  1.  0.  0. -1.  1. 11.  0.]"
