,appliance,footprint
0,Electric space heater,[-36.  15.  12.   4. -30.   2.  15. -10. -13.   7.   4.   8.  16.]
1,Electric space heater,"[ -6.   2.  11.  -6.  -7.  17.  10.   0. -11.  23. -42.  25.  10. -22.
  21.  -1. -27.   7.  15.   9. -20. -11.   3.  40. -34.   1.   0.   6.
  14.   1. -10.  -1.  -7.   5. -13.  26.  13.   1. -41.   6.  25. -24.
  25.  -2.  -7.  -7.  10.   1.   4. -27.  15.   6. -11.]"
2,Electric space heater,[]
3,Electric space heater,"[ 11.  19.   9. -25.  -3.   8. -11.  24. -32.  39. -21.  -9.  -4.  18.
 -11.   0.  -3.   7.  21. -17.  27.  -2.   1. -30.  26. -18.  13.  -6.
 -10.  21. -13.]"
4,Electric space heater,"[-14.   1. -23.  24. -21. -10.   5.  24. -20.  20.   2. -17.  25. -24.
   5. -11.  20.  13.]"
5,Electric space heater,"[  5. -14.  -2.  -4.  24. -19. -10.  25.  17. -26.  -7.  -5.  -5.  33.
   8.]"
6,Electric space heater,"[ -1.   1.   0.  -2.   1.   2.  -1.  -3.   2.   4.   2.   2.   3.  -3.
  -1.   0.   1.   2.  -3.   2.  -1.   3.   0.  -4.   0.   1.   1.  -2.
   1.  -5.   3.   1.   0.   1.   2.  -3.   2.  -2.  -2.   2.   2.  -3.
  -1.   2.   2.   0.  -2.   1.   4.  -4.   2.   2.  -3.  -1.   3.  -3.
   0.   1.   1.  -6.   0.   0.  -3.   1.   0.   2.  -1.   0.   5.   3.
   2.  -1.  -1.   4.   1.  -4.   3.  -3.   0.   2.  -4.   4.  -3.   0.
   0.   3.   0.   0.  -1.   0.   2.  -1.  -2.   2.   1.   0.   0.  -1.
   1.   1.  -3.   0.  -1.   1.   1.  -4.   3.  -2.  -1.   3.  -5.   3.
   1.  -3.   3.   0.   0.  -3.   2.   0.  -1.   1.   2.   0.  -3.   1.
   0.  -1.   0.   2.  -5.   6.  -4.   0.   1.  -2.  -1.   3.   0.   0.
  -1.   4.  -3.   1.   2.  -3.   0.   0.   0.   1.  -1.   3.  -1.   0.
   1.   0.  -4.   5.  -2.   1.  -5.   4.  -1.   2.  -2.   1.   0.   0.
  -2.  -2.  -1.  -3.   3.  -3.   3.  -2.   3.   0.  -3.   2.   4.   4.
  -4.   4.   1.  -5.   3.   2.   1.  -5.   5.  -5.   2.   0.   1.  -3.
   2.   2.  -2.  -2.   3.   0.   1.  -3.   2.  -2.   2.   0.  -2.   1.
   2.  -3.   2.  -1.   1.   0.  -1.  -1.   0.   2.  -1.   0.  -1.   3.
  -3.   1.   1.   0.  -2.   3.   1.  -3.   0.  -3.   2.   1.   1.  -2.
   0.   0.  -1.   2.  -1.   1.  -2.   4.  -5.   6.   1.  -5.  -1.   3.
  -1.  -1.   3.  -3.   2.   0.  -1.   1.  -2.   4.   1.  -2.   2.  -1.
   0.   2.  -2.   0.   2.  -3.   2.  -2.   2.   0.  -1.   3.  -3.   1.
   0.   0.  -2.   1.   2.  -2.   1.  -2.   2.   2.  -4.   1.   0.   1.
   2.   0.  -5.   2.   4.  -6.   1.   5.  -7.   1.   3.   1.  -4.   1.
   2.  -3.   2.   0.   2.  -3.  -1.   0.   3.  -3.  -2.   2.   2.   3.
  -3.   2.  -4.   4.   1.  -6.   3.   3.  -4.   1.  -2.   4.   0.  -3.
   0.  -2.   5.  -1.  -2.  -1.   0.   6.  -1.  -1.   1.   2.  -6.   0.
   4.  -2.   3.  -2.   2.  -2.   1.  -3.   1.   3.  -4.   3.  -1.   1.
   2.  -1.  -5.   1.   2.  -1.   0.   0.   1.   2.  -2.  -4.   6.  -1.
  -4.   3.  -1.  -2.   6.  -2.   2.  -2.  -2.   4.  -1.  -5.   0.   3.
   3.  -3.   0.   0.   3.  -1.  -3.   2.   1.  -4.   2.   0.   0.   1.
   0.   3.  -2.  -1.   2.   0.  -4.  -1.   1.  -5.   4.   4.  -2.   2.
   0.  -4.   5.   0.  -5.   2.   0.   2.   1.  -3.   0.   1.  -1.  -1.
   2.   0.   3.  -3.   0.   0.   4.  -3.  -2.   1.   5.  -6.   0.   3.
   2.   0.  -2.  -2.   1.   0.   1.   1.  -1.   1.   2.   0.   1.  -3.
  -2.  -2.   6.  -3.   2.  -3.   1.  -1.   3.   1.  -1.  -1.   2.   2.
   0.   2.  -2.   2.  -4.   0.   0.   1.  -3.  -1.   1.   1. -13.   0.
   1.   5.  -2.  -1.   1.   2.  -2.   1.  -3.   0.   5.  -2.  -5.   4.
  -3.   2.   2.  -5.   6.  -1.  -1.   2.  -1.  -3.   2.  -1.   3.   0.
   0.  -3.  -2.   5.   0.  -3.  -1.   2.   0.   2.  -4.   2.  -2.  -1.
   3.  -1.  -1.   4.  -5.   2.  -1.   0.  -3.   1.   4.   2.  -5.   3.
  -1.   0.   0.   1.  -4.   4.   1.  -2.   2.   2.  -2.   2.  -5.   0.
   1.   1.  -1.   3.  -1.  -2.   1.  -2.   5.  -2.  -2.   0.   4.   0.
  -1.  -4.   4.  -2.   1.   0.   0.   1.  -2.   2.  -3.   0.   6.  -5.
   5.  -3.   3.  -3.  -1.   0.  -2.  -2.   3.   0.   0.   2.  -4.   2.
   0.   2.  -4.  -2.   2.   1.   3.   1.  -5.   2.  -3.   3.  -1.   3.
  -2.   0.   4.  -7.   4.  -1.   1.  -1.   2.   1.  -3.   0.   0.   0.
   0.   4.  -2.   0.  -4.   0.   5.  -1.   0.  -1.   1.   1.  -3.   2.
   1.   0.   2.  -1.  -3.   3.  -3.   1.   1.  -3.   3.   3.  -2.  -3.
   3.  -3.   2.   0.  -2.  -1.  -1.   4.   1.  -2.   1.  -5.   4.  -4.
   0.   3.  -1.  -2.   2.  -1.   6.  -2.   1.  -3.  -1.   1.   1.  -4.
   6.   0.]"
7,Electric space heater,"[ 2. -2.  1.  0.  2.  0. -3.  1.  0. -1.  1.  1.  0.  2. -2.  0.  0. -3.
  4. -3.  3. -2.  0. -1.  1. -1.  0. -1.  2. -1.  0.  3. -2. -1.  3. -2.
 -1.  1.  0.  0.  0.  0.  3. -1. -4.  0.  5.  0.  0. -4.  6.  0. -1.  1.
 -2.  2. -2.  2.  1. -6.  3. -2.  3. -2.  4. -4.  2.  0. -2. -1.  2. -2.
  3.  0.  1.  0.  0.  0. -3.  2.  2.  0.  1. -3. -1. -1.  2. -4.  6. -2.
  0. -3.  3.  0.  0.  0.  3.  0. -4.  2. -3.  3. -1.  0.  3. -3.  1.  2.
 -4.  1.  1. -1. -1.  0.  1. -2.  3.  0.  1. -1.  2. -1.  0. -1.  0. -1.
 -2.  3. -1.  0.  1.  2. -3.  3. -3. -1.  2. -2. -1.  3.  0. -4.  2. -1.
  0.  2. -2.  1.  1.  0. -1. -2.  0.  2.  1. -3.  2.  2.  0.  0. -1.  0.
  0.  1. -1.  1. -2.  2. -3. -2. -1.  4. -4.  4. -5.  1.  0.  0.  2.  0.
  5. -3. -2.  0.  3.  1. -3. -1.  2.  1.  2. -5.  5. -3. -3.  3.  3. -1.
 -2.  1. -2.  3.  0.  1. -1. -1.  1. -1.  0.  1. -1.  0.  1. -3.  2.  2.
 -5.  4.  0.  1.  0.  0. -2. -1.  1.  4. -1. -3.  1.  1. -5.  5. -6.  5.
 -2.  2.  0. -3. -1.  2.  2. -4.  1.  3.  1. -2. -3.  3.  2. -3.  1.  3.
 -1. -2. -2.  1.  2. -3.  3. -4.  6. -6.  1.  2. -4.  2.  1. -2. -1.  2.
  2.  2. -2.  0.  0. -1. -2.  4. -5.  1.  1. -2.  0.  4. -1.  0.  1. -2.
  4. -1. -2.  3. -3. -1.  2.  0.  0. -2.  3. -4.  2.  4. -4.  0.  0. -3.
  3.  1. -3.  4. -4.  3. -1.  0.  3. -2.  0.  2. -3.  1.  1. -2.  1. -3.
  2.  2. -1.  3. -1. -3.  3. -2. -1.  1.  3. -5.  3. -4.  6. -2.  1.  0.
 -2.  1. -2.  1.  5.  0. -3.  0. -1.  0. -1.  2. -1.  1.  0.  2. -1.  1.
 -2.  0. -4.  0.  2. -3.  6. -5.  4.  0.  2. -3.  3. -5.  2.  2.  1. -3.
  2. -1.  1.  1.  0. -1.  4. -3.  1. -3.  3. -1.  1. -1.  4. -3.  1. -1.
  2. -4. -1. -1.  5. -1. -1. -1.  3. -2.  0.  0.  0.  2.  1.  0. -3.  1.
 -7.  5.  1.  2. -3. -3.  2.  1.  0.  1. -3.  4. -3.  3. -5.  5.  1. -4.
  1.  2. -1. -2.  1.  1. -3.  4. -4.  1.]"
8,Electric space heater,"[-1. -5.  6. -3.  4. -1. -2. -2.  0.  2. -3.  3. -1.  1. -2. -1.  2.  1.
  2.  0. -4.  6. -1. -1. -1.  1.  1.  0. -4.  1.  2.  4.  0. -5. -1.  3.
  0.  3. -5.  1.  3. -2.  0. -3.  3.  0.  3. -4.  4.  0. -3.  2. -3.  0.
  4. -2. -1.  1.  4.  0.  0. -3.  1. -2.  0.  0.  1.  0.  1.  2. -2. -3.
 -1.  3. -1.  2. -3.  2. -4.  1.  4.  0.  0. -4. -2.  1.  6. -5.  4.  0.
 -1. -4.  0.  6. -2.  1. -1. -2.  3.  2. -3. -2.  6. -3. -3.  1.  1.  4.
 -6.  1.  1.  1.  3. -1. -1. -2.  3.  1. -2.  3. -6.  2.  1.  0.  2. -1.
 -2.  2. -1.  0.  1. -3.  3. -2.  0.  3. -6.  3. -1. -3.  3.  4. -4.  1.
  2.  1. -2. -1.  2. -3.  0.  0. -4.  3.  1. -4.  1.  4. -2.  2.  0. -4.
  3.  0.  1.  0.  0.  0.  0. -3.  4. -1.  0.  2. -4.  2. -1.  0. -2.  0.
  3. -3.  3. -3.  0.  2.  0.]"
9,Electric space heater,"[-2.  2. -3.  1.  0.  1.  0. -4.  5. -4.  2. -2.  1. -3.  0.  0.  0. -1.
 -3.  2.  3.  0. -5.  1.  3. -1. -4.  4. -2.  0.  0. -2.  2.  2. 12. -1.
 -4.  2. -2.  4. -6.  3. -3.  0. -1.  2. -1.  4. -3.  1.  0. -1. -2.  2.
 -4.  1.  2.  0. -1.  1.  0. -3.  1.  0. -1.  2.  1. -1.  0.  0. -1.  1.
 -2.  3. -1.  3.  0.]"
